"no","universitas"
"2359","Akademi Kebidanan Bina Daya Husada"
"2360","Akademi Kebidanan Bina Husada"
"2361","Akademi Kebidanan Bina Husada Tangerang"
"2362","Akademi Kebidanan Dehasen Bengkulu"
"2363","Akademi Kebidanan Gema Nusantara Bekasi"
"2364","Akademi Kebidanan Giri Satria Husada"
"2365","Akademi Kebidanan Graha Mandiri Cilacap"
"2366","Akademi Kebidanan Haji Amirullah"
"2367","Akademi Kebidanan Helvetia Pekanbaru"
"2368","Akademi Kebidanan Kartika Mitra Husada"
"2369","Akademi Kebidanan KH Putra"
"2370","Akademi Kebidanan Langkat"
"2371","Akademi Kebidanan Makariwo"
"2372","Akademi Kebidanan Medika Anugerah Tasya"
"2373","Akademi Kebidanan Nusantara Indonesia Lubuklinggau"
"2374","Akademi Kebidanan Pemenang"
"2375","Akademi Kebidanan Public Health Medical Nursing"
"2376","Akademi Kebidanan Syahida Komunika"
"2377","Akademi Kebidanan Syekh Yusuf Gowa"
"2378","Akademi Kebidanan Yaleka Maro Merauke"
"2379","Akademi Kebidanan YPSDMI"
"2380","Akademi Keperawatan Adi Husada"
"2381","Akademi Keperawatan Al Ma Arif"
"2382","Akademi Keperawatan Baiturrahmah"
"2383","Akademi Keperawatan Baramuli Airmadidi"
"2384","Akademi Keperawatan Keris Husada"
"2385","Akademi Keperawatan Kesdam Iskandar Muda Lhokseumawe"
"2386","Akademi Keperawatan Mandiri"
"2387","Akademi Keperawatan Metuari Waya Manado"
"2388","Akademi Keperawatan Panti Kosala Surakarta"
"2389","Akademi Keperawatan Patria Husada Surakarta"
"2390","Akademi Keperawatan Prima Jambi"
"2391","Akademi Keperawatan Reformasi"
"2392","Akademi Keperawatan RSP TNI‐AU Jakarta"
"2393","Akademi Keperawatan Totabuan Kotamobagu"
"2394","Akademi Keperawatan Yayasan Dharma Bhakti Jakarta"
"2395","Akademi Keperawatan YPDR"
"2396","Akademi Keperawatan YPSBR Muara Bulian"
"2397","Akademi Kesehatan Swakarsa Jakarta"
"2398","Akademi Keuangan dan Perbankan Riau"
"2399","Akademi Komunitas Dharma Bhakti Bangka"
"2400","Akademi Komunitas Favorit Samarinda"
"2401","Akademi Komunitas Toyota Indonesia"
"2402","AMIK Jaya Nusa"
"2403","AMIK Jombang"
"2404","Akademi Maritim Nasional Jaya"
"2405","Akademi Pariwisata Bhakti Nusantara"
"2406","Akademi Pariwisata Medan"
"2407","Akademi Pariwisata Paramitha Bukittinggi"
"2408","Akademi Perekam dan Informasi Kesehatan Sihat Beurata"
"2409","Akademi Perekam Medis dan Informatika Kesehatan Bhumi Husada"
"2410","Akademi Perekam Medis dan Informatika Kesehatan Widya Dharma"
"2411","Akademi Perpajakan Panca Bhakti"
"2412","Akademi Peternakan Brahma Putra"
"2413","Akademi Sekretari Budi Luhur"
"2414","Akademi Sekretari dan Manajemen Ariyanti"
"2415","Akademi Sekretari Marsudirini Santa Maria"
"2416","Akademi Teknik Deli Serdang"
"2417","Akademi Teknik Gigi Hang Tuah Jakarta"
"2418","Akademi Teknik Gigi YLPTK Padang"
"2419","Akademi Teknik Kendari"
"2420","Akademi Teknik Piri"
"2421","Akademi Teknologi Grafika Indonesia Jakarta"
"2422","Akademi Teknologi Industri Dewantara Palopo"
"2423","Akademik Teknik Otomotif Banda Aceh"
"2424","Akbid Gemilang Husada Kotabumi"
"2425","Akbid Harapan Mulya Ponorogo"
"2426","AKPER Tenaga Pembangunan Arjuna Laguboti"
"2427","AMIK BSI Jakarta"
"2428","AMIK Indonesia"
"2429","AMIK Laksi-31"
"2430","AMIK Master Lampung"
"2431","AMIK New Media"
"2432","AMIK Parnaraya Manado"
"2433","Institut Agama Islam Al‐Qolam"
"2434","Institut Agama Islam Hamzanwadi Pancor"
"2435","Politeknik Bina Budaya Cipta"
"2436","Politeknik Dharma Patria"
"2437","Politeknik Elektronika Negeri Surabaya"
"2438","Politeknik Enjinering Indorama"
"2439","Politeknik Gajah Sakti"
"2440","Politeknik Gorontalo"
"2441","Politeknik Indotec Kendari"
"2442","Politeknik Kesehatan Kemenkes Denpasar"
"2443","Politeknik Kotabaru"
"2444","Politeknik Negeri Bandung"
"2445","Politeknik Negeri Jember"
"2446","Politeknik Negeri Medan"
"2447","Politeknik Negeri Semarang"
"2448","Politeknik Negeri Tanah Laut"
"2449","Politeknik Swadharma"
"2450","Politeknik Tanjungbalai"
"2451","Politeknik TEDC"
"2452","Politeknik Teknologi Kimia Industri"
"2453","Politeknik Tunas Pemuda"
"2454","Sekolah Tinggi Manajemen Bisnis Multi Sarana Manajemen Administrasi dan Rekayasa Teknologi"
"2455","Sekolah Tinggi Agama Islam Al‐Aziziyah Samalanga"
"2456","Sekolah Tinggi Hukum Garut"
"2457","STIA Setih Setio"
"2458","STIE Balikpapan"
"2459","STIE Bentara Persada Batam"
"2460","STIE Boedi Oetomo"
"2461","STIE Bulungan Tarakan"
"2462","STIE Cendekia Bojonegoro"
"2463","STIE Dharma Bumi Putra"
"2464","STIE Gandhi"
"2465","STIE IBMI Medan"
"2466","STIE Port Numbay Jayapura"
"2467","STIE Surakarta"
"2468","STIE Tri Bhakti"
"2469","STIE Tridharma"
"2470","STIKES Wijaya Husada Bogor"
"2471","STIE Trisna Negara"
"2472","STIE Widya Manggalia"
"2473","STIE Widya Wiwaha"
"2474","STIE Wilwatikta"
"2475","STIE YAI"
"2476","STIH Al-hikmah"
"2477","STIH Bintuni"
"2478","STIKES Guna Bangsa Yogyakarta"
"2479","STIKES Ichsan Medical Centre Bintaro"
"2480","STIKES Indonesia Jaya"
"2481","STIKES Karya Putra Bangsa Tulungagung"
"2482","STIKES Mitra Kencana"
"2483","STIKES Pembina Palembang"
"2484","STIKES Rajawali"
"2485","STIP Graha Karya"
"2486","Sekolah Tinggi Ilmu Manajemen Gorontalo"
"2487","Sekolah Tinggi Ilmu Pertanian Yapi Bone"
"2488","Sekolah Tinggi Ilmu Sosial dan Ilmu Politik Mujahidin"
"2489","Sekolah Tinggi Manajemen Transportasi Malahayati"
"2490","Sekolah Tinggi Teknologi Indonesia Tanjung Pinang"
"2491","Sekolah Tinggi Teologi Aletheia"
"2492","STIA Langgur"
"2493","STIE Panca Bhakti Palu"
"2494","STIKES Deli Husada"
"2495","STIKES Indonesia Maju"
"2496","STIKES Maharani"
"2497","STIKES Mitra Bunda Persada Batam"
"2498","STIKES Muhammadiyah Sidrap"
"2499","STIKES Pemkab Jombang"
"2500","STIKES Salsabila Serang"
"2501","STIKES Surya Mitra Husada"
"2502","STIMIK Jayabaya Jakarta"
"2503","STITEK Bina Taruna"
"2504","STKIP Abdi Wacana Wamena"
"2505","STKIP Nias Selatan"
"2506","STKIP Persatuan Islam"
"2507","STKIP PGRI Ngawi"
"2508","STKIP Sinar Pancasila"
"2509","STMIK Dumai"
"2510","STMIK Eresha"
"2511","STMIK Hasan Sulur Wonomulyo"
"2512","STMIK Islam Internasional"
"2513","STMIK LPKIA Bandung"
"2514","STMIK MIC Cikarang"
"2515","STMIK Tidore Mandiri"
"2516","Universitas Andi Djemma"
"2517","Universitas Antakusuma"
"2519","Universitas Baiturrahmah"
"2520","Universitas Borobudur"
"2521","Universitas Fajar"
"2522","Universitas Kebangsaan"
"2523","Universitas Muhammadiyah Maluku Utara"
"2524","Universitas Muslim Indonesia"
"2525","Universitas Palembang"
"2526","Universitas Paramadina"
"2527","Universitas Pembangunan Jaya"
"2528","Universitas Persatuan Guru 1945 NTT"
"2529","Universitas Putra Indonesia Yptk Padang"
"2530","Universitas Selamat Sri"
"2531","Universitas Tridharma"
"2532","Universitas Trunajaya"
"2533","Universitas Widya Kartika"
"2534","Universitas Wijaya Kusuma Surabaya"
"2535","Akademi Analis Kesehatan 17 Agustus 1945 Semarang"
"2536","Akademi Analis Kesehatan Kendari"
"2537","Akademi Analis Kesehatan Pekalongan"
"2538","Akademi Farmasi Prayoga Padang"
"2539","Akademi Farmasi Sandi Karsa"
"2540","Akademi Farmasi Toraja"
"2541","Akademi Farmasi YPF"
"2542","Akademi Ilmu Gizi YPAG Makassar"
"2543","Akademi Kebidanan Aisyiyah Serang"
"2544","Akademi Kebidanan Aru"
"2545","Akademi Kebidanan Bhakti Husada Cikarang"
"2546","Akademi Kebidanan Bina Sejahtera Rantepao"
"2547","Akademi Kebidanan Budi Mulia Prabumulih"
"2548","Akademi Kebidanan Dian Harapan Mamasa"
"2549","Akademi Kebidanan Dulang Mas"
"2550","Akademi Kebidanan Gayo Lues"
"2551","Akademi Kebidanan Griya Husada"
"2552","Akademi Kebidanan Hampar Baiduri"
"2553","Akademi Kebidanan Medica Obgin"
"2554","Akademi Kebidanan Mitra Sehat Sidoarjo"
"2555","Akademi Kebidanan Munawarrah Bireuen"
"2556","Akademi Kebidanan Namira Madina Panyabungan"
"2557","Akademi Kebidanan Palu Sulawesi Tengah"
"2558","Akademi Kebidanan Pondok Pesantren Assanadiyah"
"2559","Akademi Kebidanan Prima Husada"
"2560","Akademi Kebidanan Putra Jaya Mandiri Batam"
"2561","Akademi Kebidanan Sayid Sabiq Indramayu"
"2562","Akademi Kebidanan Yapma Makassar"
"2563","Akademi Kebidanan Yayasan Rumah Sakit Jakarta"
"2564","Akademi Keperawatan Arta Kaban Jahe"
"2565","Akademi Keperawatan Bhakti Husada Cikarang"
"2566","Akademi Keperawatan Giri Satria Husada"
"2567","Akademi Keperawatan Hang Tuah Jakarta"
"2568","Akademi Keperawatan Kesdam VI/Tanjung Pura"
"2569","Akademi Keperawatan Pasar Rebo Jakarta"
"2570","Akademi Keperawatan RS Dustira"
"2571","Akademi Keperawatan Yayasan Jalan Kimia"
"2572","Akademi Kesehatan Sapta Bakti Bengkulu"
"2573","Akademi Manajemen Indonesia Semarang"
"2574","AMIK Bogor"
"2575","AMIK YPAT"
"2576","Akademi Maritim Bina Bahari"
"2577","Akademi Maritim Indonesia Bitung"
"2578","Akademi Maritim Indonesia Medan"
"2579","Akademi Pariwisata Denpasar"
"2580","Akademi Pariwisata Nusantara Medan"
"2581","Akademi Pariwisata Saint Mary"
"2582","Akademi Refraksi Optisi Binalita Sudama"
"2583","Akademi Sekretari dan Manajemen Kencana Bandung"
"2584","Akademi Sekretari Manajemen Indonesia Pontianak"
"2585","Institut Pertanian Bogor"
"2586","Institut Agama Islam Negeri Antasari Banjarmasin"
"2587","Institut Agama Islam Negeri Jember"
"2588","Institut Keguruan dan Ilmu Pendidikan Widya Darma"
"2589","Institut Teknologi Budi Utomo"
"2590","Politeknik AMI Makassar"
"2591","Politeknik Bina Husada Kendari"
"2592","Politeknik Ilmu Pelayaran Balikpapan"
"2593","Politeknik Kesehatan Permata Indonesia Yogyakarta"
"2594","Politeknik Santo Thomas"
"2595","Politeknik Tugu Jakarta"
"2596","Sekolah Tinggi Agama Buddha Nalanda"
"2597","Sekolah Tinggi Bahasa Asing Yapari"
"2598","Sekolah Tinggi Elektronika dan Komputer Pat"
"2599","Sekolah Tinggi Ilmu Farmasi Yayasan Pharmasi"
"2600","STIA Mandala Indonesia"
"2601","STIBA Nusa Mandiri"
"2602","STIBA Satya Widya"
"2603","Sekolah Tinggi Ilmu Komputer Muhammadiyah Batam"
"2604","STIE Bima"
"2605","STIE Cakrawala"
"2606","STIE Harapan Bangsa"
"2607","STIE Informasi Teknologi dan Bisnis"
"2608","STIE Jayakusuma"
"2609","STIE Karya"
"2610","STIE KBP"
"2611","STIE Malangkucecwara"
"2612","STIE Manajemen Rutu Nusa"
"2613","STIE Mandala"
"2614","STIE Mars"
"2615","STIE Nagoya Indonesia"
"2616","STIE Pariwisata"
"2617","STIE Pembangunan Indonesia"
"2618","STIE Santa Ursula"
"2619","STIE YPUP Makassar"
"2620","STIH Cokroaminoto"
"2621","STIH Graha Kirana"
"2622","STIH Habaring Hurung Sampit"
"2623","STIKES Abdi Nusa"
"2624","STIKES Bali"
"2625","STIKES Bina Putra Banjar"
"2626","STIKES Lakipada Tana Toraja"
"2627","STIKES Mitra Lampung"
"2628","STIKES Respati"
"2629","STIPSI Widya Dharma"
"2630","Sekolah Tinggi Ilmu Psikologi Harapan Bangsa"
"2631","Sekolah Tinggi Teknologi Angkatan Laut"
"2632","Sekolah Tinggi Teknologi Bandung"
"2633","Sekolah Tinggi Teknologi Cipasung"
"2634","Sekolah Tinggi Teknologi Duta Bangsa"
"2635","Sekolah Tinggi Teknologi Ilmu Komputer Insan Unggul"
"2636","Sekolah Tinggi Teknologi Immanuel"
"2637","Sekolah Tinggi Teknologi Kedirgantaraan"
"2638","Sekolah Tinggi Teknologi Mutu Muhammadiyah"
"2639","Sekolah Tinggi Teologi Injili Indonesia Bali"
"2640","Sekolah Tinggi Teologi Kanaan Nusantara"
"2641","STIE Cirebon"
"2642","STIKES Bina Permata Medika"
"2643","STIKES Buana Husada Ponorogo"
"2644","STIKES Darul Azhar Batulicin"
"2645","STIKES Delima Persada Gresik"
"2646","STIKES Faletehan"
"2647","STIKES Gema Insan Akademik"
"2648","STIKES Husada Borneo"
"2649","STIKES Hutama Abdi Husada Tulungagung"
"2650","STIKES Ibnu Sina Batam"
"2651","STIKES IST Buton"
"2652","STIKES Karya Husada Semarang"
"2653","STIKES Madani Yogyakarta"
"2654","STIKES Mitra Husada Medan"
"2655","STIKES Mitra Keluarga"
"2656","STIKES Payung Negeri"
"2657","STIKES Widya Husada"
"2658","STIKES Wiyata Husada Samarinda"
"2659","STISIP Margarana"
"2660","STISIP Setia Budhi"
"2661","STKIP Bina Insan Mandiri"
"2662","STKIP Majenang"
"2663","STKIP Muhammadiyah Pagaralam"
"2664","STMIK AKI Pati"
"2665","STMIK Amik Bandung"
"2666","STMIK Amik Riau"
"2667","STMIK AMIKOM Yogyakarta"
"2668","STMIK AUB Surakarta"
"2669","STMIK CIC"
"2670","STMIK Handayani Makassar"
"2671","STMIK Jayakarta"
"2672","STMIK PGRI Tangerang"
"2673","STT Banua Niha Keriso Protestan Sundermann Nias"
"2674","Universitas Atma Jaya Makassar"
"2675","Universitas Bakti Indonesia"
"2676","Universitas Ibn Khaldun"
"2677","Universitas Dwijendra"
"2678","Universitas Hasanuddin"
"2679","Universitas Hindu Indonesia"
"2680","Universitas Islam 45 Bekasi"
"2681","Universitas Islam Negeri Sunan Gunung Djati Bandung"
"2682","Universitas Islam Sultan Agung"
"2683","Universitas Janabadra"
"2684","Universitas Kristen Indonesia Tomohon"
"2685","Universitas Lancang Kuning"
"2686","Universitas Maarif Hasyim Latif"
"2687","Universitas Mayjen Sungkono"
"2688","Universitas Merdeka Malang"
"2689","Universitas Muhammadiyah Metro"
"2690","Universitas Muhammadiyah Semarang"
"2691","Universitas Muhammadiyah Tasikmalaya"
"2692","Universitas Pamulang"
"2693","Universitas Pasifik Morotai"
"2694","Universitas Pattimura"
"2695","Universitas Pesantren Tinggi Darul ulum"
"2696","Universitas Sampoerna"
"2697","Universitas Sintuwu Maroso"
"2698","Universitas Sjakhyakirti"
"2699","Universitas Widyagama Mahakam Samarinda"
"2700","Akademi Administrasi Rumah Sakit Mataram"
"2701","Akademi Akuntansi Effendi Harahap"
"2702","Akademi Bahasa Asing Persada Bunda"
"2703","Akademi Bahasa Asing St Pignatelli"
"2704","Akademi Farmasi Tadulako Farma"
"2705","Akademi Farmasi Theresiana Semarang"
"2706","Akademi Kebidanan Harapan Mulya Ponorogo"
"2707","Akademi Kebidanan Sentra Bina Yudistira Tangerang"
"2708","Akademi Kebidanan Umi Bagan Batu"
"2709","Akademi Keperawatan Nabila"
"2710","Akademi Keperawatan Notokusumo"
"2711","Akademi Keperawatan Surya Nusantara"
"2712","Akademi Keperawatan Wirahusada Medan"
"2713","Akademi Komunikasi BSI Jakarta"
"2714","Akademi Komunikasi Indonesia YPK"
"2715","Akademi Manajemen Administrasi YPK Yogyakarta"
"2716","Akademi Manajemen Belitung"
"2717","AMIK Universal"
"2718","Akademi Pariwisata Mandala Bhakti"
"2719","Akademi Pariwisata Nusantara Jaya"
"2720","Akademi Perekam Medis dan Informatika Kesehatan Bandung"
"2721","Akademi Sekretari Manajemen Tanah Rencong"
"2722","Akademi Teknologi AUB"
"2723","AMIK Bumi Nusantara"
"2724","AMIK Widya Loka Medan"
"2725","Institut Agama Islam Negeri Imam Bonjol"
"2726","Institut Keguruan dan Teknologi Larantuka"
"2727","Institut Keguruan Ilmu Pendidikan Veteran Jawa Tengah"
"2728","Institut Pertanian Stiper"
"2729","Politeknik Jambi"
"2730","Politeknik Kesehatan Kemenkes Makassar"
"2731","Politeknik Negeri Lhokseumawe"
"2732","Politeknik NSC"
"2733","Politeknik YPPB Belitang"
"2734","Sekolah Tinggi Agama Islam Al‐Gazali Bone"
"2735","Sekolah Tinggi Bahasa Asing Yunisla Bandar Lampung"
"2736","Sekolah Tinggi Energi dan Mineral Akamigas Cepu"
"2737","Sekolah Tinggi Filsafat Teologi Widya Sasana"
"2738","Sekolah Tinggi Ilmu Al‐Qur'an Amuntai"
"2739","STIA Panglima Sudirman"
"2740","STIA Yappi Makassar"
"2741","STIBA Bumi Beringin"
"2742","Sekolah Tinggi Ilmu Komputer Dinamika Bangsa"
"2743","STIE Budi Pertiwi"
"2744","STIE Dharma Putra Semarang"
"2745","STIE Mah‐Eisa"
"2746","STIE Perbankan Indonesia"
"2747","STIE Sulawesi Utara"
"2748","STIH Jenderal Sudirman"
"2749","Sekolah Tinggi Ilmu Pertanian Dharma Wacana"
"2750","Sekolah Tinggi Ilmu Tarbiyah Kabupaten Tebo"
"2751","Sekolah Tinggi Ilmu Tarbiyah Muhammadiyah Banjar"
"2752","Sekolah Tinggi Keguruan dan Ilmu Pendidikan Hamzanwadi"
"2753","Sekolah Tinggi Keguruan dan Ilmu Pendidikan Muhammadiyah Barru"
"2754","Sekolah Tinggi Pariwisata Pelita Harapan"
"2755","Sekolah Tinggi Pariwisata Sahid Surakarta"
"2756","Sekolah Tinggi Penerbangan Aviasi"
"2757","Sekolah Tinggi Perpajakan Indonesia"
"2758","Sekolah Tinggi Pertanian Jawa Barat"
"2759","Sekolah Tinggi Teknologi Dumai"
"2760","STIE Anindyaguna"
"2761","STIE Dahani Dahanai Buntok"
"2762","STIKES Bataraguru Soroaka"
"2763","STIKES Halmahera"
"2764","STIKES Karsa Husada Garut"
"2765","STIKES Kendal"
"2766","STIKES Nahdlatul Ulama Tuban"
"2767","STIKES Santu Paulus manggarai"
"2768","STIKES Tanawali Takalar"
"2769","STIKES Wira Husada"
"2770","STISIP Yupentek Tangerang"
"2771","STISIPOL Raja Haji"
"2772","STKIP Bina Bangsa Getsempena"
"2773","STKIP Labuhan Batu"
"2774","STKIP Mutiara Banten"
"2775","STKIP Nuuwar"
"2776","STKIP Pamane Talino"
"2777","STKIP Paris Barantai"
"2778","STKIP PGRI Trenggalek"
"2779","STKIP Soe"
"2780","STKIP Suar Bangli"
"2781","STKIP Veteran Sidrap"
"2782","STMIK Atma Luhur"
"2783","STMIK Banjarbaru"
"2784","STMIK Bidakara"
"2785","STMIK Bina Insani"
"2786","STMIK Bina Mulia"
"2787","STMIK Catur Sakti Kendari"
"2788","STMIK Cikarang"
"2789","STMIK Ichsan"
"2790","STMIK Jaya Nusa"
"2791","STMIK Kharisma Karawang"
"2792","STMIK Profesional Makassar"
"2793","Universitas 17 Agustus 1945 Cirebon"
"2794","Universitas Advent Indonesia"
"2795","Universitas Batam"
"2796","Universitas Halu Oleo"
"2797","Universitas Indraprasta PGRI"
"2798","Universitas Islam Negeri Maulana Malik Ibrahim Malang"
"2799","Universitas Jenderal Soedirman"
"2800","Universitas Ma'arif Nahdlatul Ulama Kebumen"
"2801","Universitas Muhammadiyah Gorontalo"
"2802","Universitas Muhammadiyah Palu"
"2803","Universitas Nahdlatul Ulama Sidoarjo"
"2804","Universitas Panji Sakti Singaraja"
"2805","Universitas PGRI Palembang"
"2806","Universitas Serang Raya"
"2807","Universitas Swadaya Gunung Djati"
"2808","Universitas Teknologi Sulawesi Utara"
"2809","Universitas Yarsi"
"2810","Akademi Bahasa Asing Borobudur"
"2811","Akademi Enterpreneurship Terang Bangsa"
"2812","Akademi Farmasi Dwi Farma"
"2813","Akademi Farmasi Nusaputera Semarang"
"2814","Akademi Farmasi Surabaya"
"2815","Akademi Farmasi Yamasi Makassar"
"2816","Akademi Farmasi Yarsi Pontianak"
"2817","Akademi Farmasi Yayasan Tenaga Pembangunan Arjuna Laguboti"
"2818","Akademi Fisioterapi YAB Yogyakarta"
"2819","Akademi Industri Tekstil Bandung"
"2820","Akademi Informatika dan Komputer Medicom"
"2821","Akademi Kebidanan Al-Fathonah"
"2822","Akademi Kebidanan Ar-Rahma"
"2823","Akademi Kebidanan Banjarbaru"
"2824","Akademi Kebidanan Bunga Kalimantan"
"2825","Akademi Kebidanan Gunung Sari Makassar"
"2826","Akademi Kebidanan Jakarta Mitra Sejahtera"
"2827","Akademi Kebidanan Kesehatan Baru"
"2828","Akademi Kebidanan Madina Husada"
"2829","Akademi Kebidanan Medika Sri Tamiang"
"2830","Akademi Kebidanan Medistra Lubuk Pakam"
"2831","Akademi Kebidanan Muhammadiyah Banda Aceh"
"2832","Akademi Kebidanan Muhammadiyah Cirebon"
"2833","Akademi Kebidanan Muhammadiyah Madiun"
"2834","Akademi Kebidanan Pasaman Barat"
"2835","Akademi Kebidanan Pelita Andalas"
"2836","Akademi Kebidanan Pemkot Tebing Tinggi"
"2837","Akademi Kebidanan Persada Wajo"
"2838","Akademi Kebidanan Prima Sengkang"
"2839","Akademi Kebidanan Sakinah"
"2840","Akademi Kebidanan Sari Husada"
"2841","Akademi Kebidanan Senior"
"2842","Akademi Kebidanan Sumber Kasih Enrekang"
"2843","Akademi Kebidanan Tunas Harapan Bangsa"
"2844","Akademi Kebidanan Uniska"
"2845","Akademi Kebidanan Wijaya Husada"
"2846","Akademi Kebidanan YPDR"
"2847","Akademi Keperawatan Baitul Hikmah"
"2848","Akademi Keperawatan Bina Husada Tebing Tinggi"
"2849","Akademi Keperawatan Columbia Asia"
"2850","Akademi Keperawatan Harum"
"2851","Akademi Keperawatan Helvetia Medan"
"2852","Akademi Keperawatan Kesdam I/Bukit Barisan Pematang Siantar"
"2853","Akademi Keperawatan Kesdam Iskandar Muda Banda Aceh"
"2854","Akademi Keperawatan Maranatha Groups"
"2855","Akademi Keperawatan Muhammadiyah Cirebon"
"2856","Akademi Keperawatan Panca Bhakti"
"2857","Akademi Keperawatan Panti Rapih Yogyakarta"
"2858","Akademi Keperawatan RSU Herna"
"2859","Akademi Keperawatan Rumah Sakit Jakarta"
"2860","Akademi Keperawatan Sri Bunga Tanjung"
"2861","Akademi Keperawatan Syekh Yusuf Gowa"
"2862","Akademi Keperawatan Yapi"
"2863","Akademi Keperawatan Yaspen Jakarta"
"2864","Akademi Keperawatan Yatna Yuana Lebak"
"2865","Akademi Keperawatan YPPP Wonomulyo"
"2866","Akademi Keuangan dan Bank Mulia Darma Pratama"
"2867","Akademi Keuangan Perbankan Tahuna"
"2868","Akademi Komunitas Dewinatalia"
"2869","Akademi Komunitas Kosmetik Ristra"
"2870","Akademi Koperasi Indonesia Ratu Jelita"
"2871","Akademi Manajemen Keuangan BSI Jakarta"
"2872","Akademi Militer Magelang"
"2873","Akademi Pariwisata Eka Sakti"
"2874","Akademi Pariwisata Nusantara Tangerang"
"2875","Akademi Sekretaris dan Manajemen Persada Bunda"
"2876","Akademi Sekretaris Manajemen Indonesia Citra Nusantara"
"2877","Akademi Seni Mangkunegaran Surakarta"
"2878","Akademi Seni Rupa dan Desain ISWI Jakarta"
"2879","Akademi Statistika Muhammadiyah Semarang"
"2880","Akademi Teknik YKPN"
"2881","Akademi Teknologi Pringsewu"
"2882","Akdemi Kebidanan Kholisatur Rahmi"
"2883","AMIK BSI Sukabumi"
"2884","AMIK BSI Tegal"
"2885","AMIK Mapan Tangerang"
"2886","AMIK Pakarti Luhur"
"2887","AMIK Raharja Informatika"
"2888","AMIK Selat Panjang"
"2889","AMIK Tunas Bangsa"
"2890","AMIK Umel Mandiri"
"2891","Apikes Widya Dharma"
"2892","ATRO Yayasan Amal Bhakti Medan"
"2893","IKIP PGRI Jember"
"2894","IKIP PGRI Wates"
"2895","Institut Agama Islam Darul Ulum Kisaran"
"2896","Institut Agama Islam Negeri Ar‐Raniry"
"2897","Institut Teknologi Medan"
"2898","Politeknik ATMI"
"2899","Politeknik Ganesa Guru"
"2900","Politeknik Global Indonesia"
"2901","Politeknik Hasnur"
"2902","Politeknik Kelapa Sawit Citra Widya Edukasi"
"2903","Politeknik Kesehatan Kemenkes Jakarta II"
"2904","Politeknik Kesehatan Kemenkes Kendari"
"2905","Politeknik Negeri Lampung, Bandar Lampung"
"2906","Sekolah Tinggi Filsafat Teologi Fajar Timur"
"2907","Sekolah Tinggi Ilmu Farmasi Makassar"
"2908","Sekolah Tinggi Ilmu Farmasi Pelita Mas"
"2909","STIA Iskandar Thani"
"2910","STIA Kawula Indonesia"
"2911","STIBA Malang"
"2912","STIE 45 Mataram"
"2913","STIE AAS"
"2914","STIE Amsir Pare-pare"
"2915","STIE BPKP"
"2916","STIE Bukit Zaitun Sorong"
"2917","STIE Cipasung"
"2918","STIE Graha Karya Muara Bulian"
"2919","STIE IGI"
"2920","STIE Indonesia Jakarta"
"2921","STIE Kesatuan"
"2922","STIE Koperasi Malang"
"2923","STIE Muhammadiyah Asahan"
"2924","STIE Muhammadiyah Bandung"
"2925","STIE Muhammadiyah Pekalongan"
"2926","STIE Mulia Singkawang"
"2927","STIE Pariwisata Api"
"2928","STIE Penguji Sukabumi"
"2929","STIE Pioner Manado"
"2930","STIE Purna Graha"
"2931","STIE Ragam Tunas"
"2932","STIE Satu Nusa"
"2933","STIE Sutaatmadja"
"2934","STIE Urip Sumoharjo"
"2935","STIE Wiyatamandala"
"2936","STIE YPN"
"2937","STIH Damarica Palopo"
"2938","STIH Indonesia Jentera"
"2939","STIH Kuala Kapuas"
"2940","STIH Labuhan Batu"
"2941","Sekolah Tinggi Ilmu Komputer Yos Sudarso"
"2942","STIH Pengayoman"
"2943","STIH Soelthan M Tsjafioeddin"
"2944","STIH Sultan Adam"
"2945","STIH Sumpah Pemuda"
"2946","STIH Swadaya"
"2947","STIKES Aisyiyah Bandung"
"2948","Sekolah Tinggi Ilmu Komunikasi Indonesia Maju"
"2949","STIKES Citra Husada Mandiri"
"2950","STIKES Dian Husada"
"2951","STIKES Harapan Bangsa Purwokerto"
"2952","STIKES Langsa"
"2953","STIKES Maluku Husada"
"2954","STIKES Muhammadiyah Pringsewu Lampung"
"2955","STIKES St Fatimah"
"2956","STIKES Widya Nusantara"
"2957","STIKES Yogyakarta"
"2958","STIKIP Catur Sakti"
"2959","STIM LPI Makassar"
"2960","STIMIK Pro Visi"
"2961","Sekolah Tinggi Ilmu Manajemen dan Bisnis Gorontalo"
"2962","Sekolah Tinggi Ilmu Manajemen Saint Mary"
"2963","Sekolah Tinggi Ilmu Pemerintahan Abdi Negara"
"2964","Sekolah Tinggi Ilmu Pertanian Belitang"
"2965","Sekolah Tinggi Ilmu Pertanian Jember"
"2966","Sekolah Tinggi Ilmu Pertanian Petra Baliem Wamena"
"2967","Sekolah Tinggi Ilmu Sosial dan Politik Mbojo"
"2968","Sekolah Tinggi Ilmu Sosial Ilmu Politik Kebangsaan"
"2969","Sekolah Tinggi Ilmu Tarbiyah Al Hilal Sigli"
"2970","STMIK Indonesia Jakarta"
"2971","Sekolah Tinggi Teknik Dharma Iswara"
"2972","Sekolah Tinggi Teknologi Banten"
"2973","Sekolah Tinggi Teologi Basom"
"2974","STIA dan Manajemen Kepelabuhan Barunawati"
"2975","STIKES Bani Saleh, Bekasi"
"2976","STIKES Bina Generasi Polewali Mandar"
"2977","STIKES Bina Mandiri Gorontalo"
"2978","STIKES Buleleng"
